,% of total workforce - latest data,,,,,,,,,,change from previous data,,,,,,,,,,Notes,,,,sources,,,
Company,Female %,Male %,% White,% Asian,% Latino,% Black,% Multi,% Other,% Undeclared,,female % ,male %,white % ,Asian % ,Latino % change,Black % change,Two+ races % ,Other % change ,Undeclared % change ,,data date,In most cases gender data are global while ethnicity data are US only. Note - data don't always sum because of rounding.,Data for parent company - if no data ,,Source,Link,Link,Link
U.S. Population,51,49,61,6,18,13,3,0,-,,0,0,13,2,2,1,2,-3,-,,Jan 2018,,,,US Census Bureau,https://www.census.gov/quickfacts/fact/table/US/PST045217,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social media sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,35,65,49,40,5,3,3,1,-,,2,-2,-4,2,1,1,0,1,-,,Aug 2017,,,,Facebook,https://fbnewsroomus.files.wordpress.com/2017/08/fb_diversity_2017_final.pdf,,
Instagram,35,65,49,40,5,3,3,1,-,,2,-2,-4,2,1,1,0,1,-,,Aug 2017,,,,Facebook,https://fbnewsroomus.files.wordpress.com/2017/08/fb_diversity_2017_final.pdf,,
Google+,31,69,56,35,4,2,4,1,-,,0,0,-3,3,1,0,1,1,-,,June 2017,,Google,,Fortune,http://fortune.com/2017/06/29/google-2017-diversity-report/,,
YouTube,31,69,56,35,4,2,4,1,-,,0,0,-3,3,1,0,1,1,-,,June 2017,,Google,,Fortune,http://fortune.com/2017/06/29/google-2017-diversity-report/,,
LinkedIn,42,58,52,39,4,4,2,<1,-,,0,0,-4,2,0,2,1,0,-,,Nov 2017,Acquired by Microsoft 2016.,Microsoft,,LinkedIn,https://careers.linkedin.com/diversity-and-inclusion,,
Pinterest,45,55,48,41,6,3,2,1,-,,5,-5,-2,-1,4,2,2,-4,-,,Dec 2017,,,,TechCrunch,https://techcrunch.com/2017/12/19/pinterest-beat-hiring-goals-for-women-in-engineering-missed-for-underrepresented-minorities/,,
Tumblr,37,63,45,44,4,2,2,3,-,,0,1,-5,5,0,0,0,1,-,,June 2016,,Yahoo!,,Yahoo,https://yahoo.tumblr.com/post/152561899994/yahoos-2016-diversity-report,,
Flickr,37,63,45,44,4,2,2,3,-,,0,1,-5,5,0,0,0,1,-,,June 2016,,Yahoo!,,Yahoo,https://yahoo.tumblr.com/post/152561899994/yahoos-2016-diversity-report,,
